name,model_name,feature_set,train_window,train_seasons,recency_half_life,train_rows,validation_rows,test_rows,feature_count,decision_threshold,validation_accuracy,validation_balanced_accuracy,validation_f1_weighted,validation_roc_auc,validation_brier_score,validation_selection_metric,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,test_log_loss,test_brier_score,test_selection_metric,majority_class_rate,baseline_accuracy_delta,notes
home_win_all_features_last_4_extra_trees_depth8_recency_1p0,extra_trees_depth8,all_features,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,118,0.42999999999999994,0.7081545064377682,0.7127824545857333,0.7060492285728439,0.7764731945059814,0.19245401043760874,0.7308796926598744,0.6008771929824561,0.6008771929824561,0.5900819915044947,0.6939058171745152,0.6247779230016258,0.21765313520477478,0.6271665000183796,0.5,0.10087719298245612,
home_win_form_market_elo_last_4_histgb_l2_002_recency_4p0,histgb_l2_002,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,62,0.29,0.7167381974248928,0.7173238812583075,0.7168947994829284,0.7599320632107518,0.21130513786870544,0.7300419735777339,0.5833333333333334,0.5833333333333333,0.5613875220217484,0.6635118497999384,0.6952145909167078,0.24176861615704737,0.604095016576577,0.5,0.08333333333333337,
home_win_form_market_elo_last_4_extra_trees_depth8_recency_none,extra_trees_depth8,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,62,0.43999999999999995,0.703862660944206,0.709902525476296,0.6998668295501997,0.7797223452961157,0.19214218288035897,0.7293431170333274,0.5921052631578947,0.5921052631578947,0.575571969014592,0.6909048938134811,0.6227938306990932,0.21732662511897494,0.6192651582330753,0.5,0.09210526315789469,
home_win_compact_last_4_logistic_l2_c03_recency_1p0,logistic_l2_c03,compact,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,37,0.4799999999999999,0.7081545064377682,0.7111578791906661,0.7074765467735197,0.7733717323881258,0.1937225035620609,0.7292698352873321,0.5789473684210527,0.5789473684210527,0.5610812545119115,0.6926746691289628,0.6367252656434804,0.22504106822369224,0.6103856415470545,0.5,0.07894736842105265,
home_win_form_market_elo_last_4_histgb_l2_010_recency_4p0,histgb_l2_010,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,62,0.33999999999999997,0.7167381974248928,0.7169177374095407,0.7168844240191424,0.7580121104711269,0.2103817636062328,0.7292410523194569,0.5833333333333334,0.5833333333333333,0.5679664904757156,0.6782086795937211,0.664705594793234,0.23237710536291117,0.6094909107828069,0.5,0.08333333333333337,
home_win_market_only_last_4_extra_trees_depth8_recency_none,extra_trees_depth8,market_only,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,14,0.4599999999999999,0.703862660944206,0.7042165115935608,0.704026414472521,0.7845960714813174,0.18960609081338622,0.7283018649917319,0.6008771929824561,0.6008771929824561,0.5967738800893985,0.6841335795629425,0.6274625749147683,0.21970343118220448,0.6252386120226434,0.5,0.10087719298245612,
home_win_market_only_last_4_extra_trees_depth8_recency_1p0,extra_trees_depth8,market_only,last_4,"['2223', '2324', '2425', '2526']",1.0,1292,233,228,14,0.37999999999999995,0.6995708154506438,0.708241027913159,0.6904555774903607,0.7839314724560628,0.18940868553526732,0.7282803437126105,0.5833333333333334,0.5833333333333333,0.5595322826639553,0.685595567867036,0.6282053493928247,0.220051203850012,0.6104418460930374,0.5,0.08333333333333337,
home_win_market_only_last_2_extra_trees_depth8_recency_none,extra_trees_depth8,market_only,last_2,"['2425', '2526']",,532,96,228,14,0.4699999999999999,0.7083333333333334,0.7147826086956521,0.7021604938271603,0.7630434782608696,0.19115291158397937,0.7273675523349437,0.6052631578947368,0.605263157894737,0.6041666666666666,0.6879809172052938,0.6237406435992947,0.21831414606609018,0.6299140120036935,0.5,0.10526315789473684,
home_win_compact_last_4_histgb_l2_010_recency_none,histgb_l2_010,compact,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,37,0.3999999999999999,0.7081545064377682,0.7083148722492985,0.7083051641409346,0.7684241618667847,0.19973329032066076,0.7263462029182898,0.6228070175438597,0.6228070175438596,0.6142283780593374,0.7046014158202524,0.6573186744297853,0.22739924752819987,0.6460585411040992,0.5,0.1228070175438597,
home_win_form_market_elo_last_4_histgb_l2_002_recency_none,histgb_l2_002,form_market_elo,last_4,"['2223', '2324', '2425', '2526']",,1292,233,228,62,0.3,0.7124463519313304,0.7132255206025697,0.7125947038216981,0.7563875350760597,0.21339853709117299,0.726079502427486,0.5833333333333334,0.5833333333333333,0.5613875220217484,0.6538165589412127,0.7001913365865712,0.24481647099447168,0.6011864293189594,0.5,0.08333333333333337,
home_win_form_market_elo_last_2_logistic_l2_c03_recency_none,logistic_l2_c03,form_market_elo,last_2,"['2425', '2526']",,532,96,228,62,0.63,0.7083333333333334,0.7078260869565217,0.7083333333333334,0.7665217391304348,0.20280499125110263,0.7255108695652174,0.6491228070175439,0.6491228070175439,0.6367980884109916,0.688057863958141,0.6397188119902661,0.22567736373949818,0.6589546163087402,0.5,0.14912280701754388,
home_win_no_market_last_4_extra_trees_depth8_recency_4p0,extra_trees_depth8,no_market,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,104,0.4499999999999999,0.703862660944206,0.707871806232462,0.7023531234877577,0.7645104120513957,0.1984834424518484,0.7240355855664365,0.6228070175438597,0.6228070175438596,0.6220800246704186,0.6872114496768237,0.6344870119075079,0.2216924674828317,0.6420192982527327,0.5,0.1228070175438597,
home_win_compact_last_6_extra_trees_depth8_recency_1p0,extra_trees_depth8,compact,last_6,"['2021', '2122', '2223', '2324', '2425', '2526']",1.0,2052,370,228,37,0.49999999999999994,0.7,0.7069618754439972,0.7005370804743845,0.7627871181624437,0.2000915672343576,0.7227457290140893,0.6228070175438597,0.6228070175438596,0.6217592592592593,0.7053708833487226,0.6185492833531729,0.2154848604113869,0.6474190135426285,0.5,0.1228070175438597,
home_win_all_features_last_4_histgb_l2_010_recency_4p0,histgb_l2_010,all_features,last_4,"['2223', '2324', '2425', '2526']",4.0,1292,233,228,118,0.3,0.703862660944206,0.7046226554423276,0.7040154412492116,0.7634765913454439,0.2115883423296732,0.722187754084295,0.6096491228070176,0.6096491228070176,0.5890893627361643,0.6935980301631272,0.6736403819923041,0.2334981351661365,0.6317498310032225,0.5,0.10964912280701755,
